code,name,city,lat,lng,operating_hours
MOI-ASIR-001,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-002,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-003,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-004,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-005,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-006,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-007,مركز عاكفه القديم,Asir,,,3120
MOI-ASIR-008,مركز حرس الحدود والضيافه,Asir,,,3120
MOI-ASIR-009,برج حرس الحدود,Asir,,,3120
MOI-ASIR-010,مركز عاكفه القديم,Asir,,,3120
MOI-ASIR-011,مركز حرس الحدود بالحصن,Asir,,,3120
MOI-ASIR-012,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-013,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-014,مركز حرس الحدود بالحجفاء,Asir,,,3120
MOI-ASIR-015,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-016,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-017,مركز حرس الحدود بالمجازه,Asir,,,3120
MOI-ASIR-018,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-019,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-020,رئيس مركز شرطة عاكفه,Asir,,,3120
MOI-ASIR-021,مخفر شرطة عاكفه,Asir,,,3120
MOI-ASIR-022,مركز امارة الحاجر,Asir,,,3120
MOI-ASIR-023,مركز شرطه امن الثويله,Asir,,,3120
MOI-ASIR-024,مركز الثويلة امارة عسير,Asir,,,3120
MOI-ASIR-025,حرس الحدود,Asir,,,3120
MOI-ASIR-026,مركز امارة عاكفة,Asir,,,3120
MOI-ASIR-027,برج الامن العام الشرطه,Asir,,,3120
MOI-ASIR-028,رئيس مركز الحدود بعاكفة,Asir,,,3120
MOI-ASIR-029,رئيس مركز الحدود بعاكفة,Asir,,,3120
MOI-ASIR-030,حرس الحدود,Asir,,,3120
MOI-ASIR-031,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-032,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-033,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-034,مركز حرس الحدود الربوعه,Asir,,,3120
MOI-ASIR-035,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-036,مركز المجاهدين بالربوعه,Asir,,,3120
MOI-ASIR-037,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-038,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-039,مدير فرع الادارة العامة للمجاهدين,Asir,,,3120
MOI-ASIR-040,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-041,شرطة وادي الحياء,Asir,,,3120
MOI-ASIR-042,شرطة وادي الحياء,Asir,,,3120
MOI-ASIR-043,مركز وادي الحياء,Asir,,,3120
MOI-ASIR-044,مركز حرس الحدود بالربوعه,Asir,,,3120
MOI-ASIR-045,مدير عام المالية والادارية بامارة عسير,Asir,,,3120
MOI-ASIR-046,مركز الجوف,Asir,,,3120
MOI-ASIR-047,مركز حرس الحدود بالحيفه,Asir,,,3120
MOI-ASIR-048,رئيس مركز الحدود بعاكفة,Asir,,,3120
MOI-ASIR-049,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-050,مركز الحمرة,Asir,,,3120
MOI-ASIR-051,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-052,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-053,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-054,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-055,مكافحة المخدرات بظهران الجنوب,Asir,,,3120
MOI-ASIR-056,مكافحة المخدرات بظهران الجنوب,Asir,,,3120
MOI-ASIR-057,وحدة مكافحة المخدرات بظهران,Asir,,,3120
MOI-ASIR-058,وحدة مكافحة المخدرات بظهران,Asir,,,3120
MOI-ASIR-059,النيابة العامة,Asir,,,3120
MOI-ASIR-060,النيابة العامة,Asir,,,3120
MOI-ASIR-061,النيابة العامة,Asir,,,3120
MOI-ASIR-062,النيابة العامة,Asir,,,3120
MOI-ASIR-063,مركز الغايل,Asir,,,3120
MOI-ASIR-064,مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-065,مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-066,مركز شرطه امن الغايل,Asir,,,3120
MOI-ASIR-067,شعبة جوازات ظهران الجنوب,Asir,,,3120
MOI-ASIR-068,جوازات ظهران الجنوب,Asir,,,3120
MOI-ASIR-069,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-070,مرور محافظة ظهران الجنوب,Asir,,,3120
