description,equipment_type,model,make,size_category,capacity_btu,capacity_tr,seer,ieer,voltage_class,ch_mode,mandatory,local
Window Midea  1.47TR SEER 11.05,Window,WDV18HWG,Midea ,1.5 TR Window AC Models List (Inverter Units only),17600,1.47,11.05,,,cooling_heating,Yes,No
Window Zamil 1.5TR SEER 11.15C&H,Window,ZHT18CSEDMNW,Zamil,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.15,,,cooling_heating,Yes,No
Window Midea  1.5TR SEER 11.4,Window,WDV18CWG,Midea ,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.4,,,cooling_only,Yes,No
Window Zamil 1.5TR SEER 11.2,Window,RCT18CSXDMNNW,Zamil,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.2,,,cooling_only,Yes,No
Window Zamil 1.5TR SEER 11.2v2,Window,ZCT18CSXDMNNW,Zamil,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.2,,,cooling_only,Yes,No
Window Ugine 1.5TR SEER 11.2,Window,UAWT18C,Ugine,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.2,,,cooling_only,Yes,No
Window TCL 1.5TR SEER 11.2,Window,CW-TW18CI/V1,TCL,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.2,,,cooling_only,Yes,No
Window Zamil 1.5TR SEER 11.15,Window,RHT18CSEDMNNW,Zamil,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.15,,,cooling_heating,Yes,No
Window TCL 1.5TR SEER 11.15,Window,CW‐TW18HI/V1,TCL,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.15,,,cooling_heating,Yes,No
Window Basic 1.54TR SEER 11.25,Window,BIWAC-T18CD,Basic,1.5 TR Window AC Models List (Inverter Units only),18500,1.54,11.25,,,cooling_only,Yes,No
Window Basic 1.54TR SEER 11.25C&H,Window,BIWAC-T18HD,Basic,1.5 TR Window AC Models List (Inverter Units only),18500,1.54,11.25,,,cooling_heating,Yes,No
Window York 1.54TR SEER 11.25C&H,Window,YWLF20ZT2GTUJG‐R3,York,1.5 TR Window AC Models List (Inverter Units only),18500,1.54,11.25,,,cooling_heating,Yes,No
Window Midea  1.5TR SEER 11.4 Cooling Only,Window,WDV18CDWGKSA,Midea ,1.5 TR Window AC Models List (Inverter Units only),18000,1.5,11.4,,,cooling_only,Yes,Yes
Window Midea  1.46TR SEER 11C&H,Window,WDV18EDWGKSA,Midea ,1.5 TR Window AC Models List (Inverter Units only),17600,1.46,11,,,cooling_heating,Yes,Yes
Window Midea  1.71TR SEER 11.1,Window,WDV24CWG,Midea ,2.0 TR Window AC Models List,20500,1.71,11.1,,,cooling_only,Yes,No
Window Zamil 1.8TR SEER 8.6 v1,Window,LHH24CGEFMNNW,Zamil,2.0 TR Window AC Models List,21600,1.8,8.6,,,cooling_heating,Yes,No
Window Basic 1.8TR SEER 8.65,Window,BWAC-H24HF,Basic,2.0 TR Window AC Models List,21600,1.8,8.65,,,cooling_heating,Yes,No
Window Basic 1.82TR SEER 8.65,Window,BWAC-H24CF,Basic,2.0 TR Window AC Models List,21800,1.82,8.65,,,cooling_only,Yes,No
Window Hisense 1.82TR SEER 8.65,Window,HW24CA23,Hisense,2.0 TR Window AC Models List,21800,1.82,8.65,,,cooling_only,Yes,No
Window LG 1.85TR SEER 8.75,Window,H242EC.SN2,LG,2.0 TR Window AC Models List,22200,1.85,8.75,,,cooling_only,Yes,Yes
Window Hisense 1.8TR SEER 8.65,Window,HW24HA23,Hisense,2.0 TR Window AC Models List,21600,1.8,8.65,,,cooling_heating,Yes,No
