lamp_type,model,brand,shape_size_base,dimensions,wattage_w,lumens_lm,cct_k,life_hours,operating_v,mandatory,local
LED Batten Light ,BN398C LED20/NW L1200 PSU OP HE,Philips,Fixtures,1200mm,12.6,2000,4000,50000,220-240,No,No
LED Batten Light ,BN398C LED40/NW L1200 PSU OP HE,Philips,Fixtures,1200mm,25,4000,4000,50000,220-240,No,No
LED Batten Light ,BN398C LED69/NW L1200 PSU OP HE,Philips,Fixtures,1200mm,43,6900,4000/6500,50000,220-240,No,No
LED Batten Light ,BN398C LED20/NW L600 PSU OP,Philips,Fixtures,600mm,14.5,2000,4000/6500,50000,220-240,No,No
LED Batten Light ,WT198C LED19S/840 PSU L600,Philips,Fixtures,600mm,15,1900,4000/6500,75000,220-240,No,No
LED Batten Light ,WT198C LED40S/840 PSU L1200,Philips,Fixtures,1200mm,28.6,4000,4000/6500,75000,220-240,No,No
LED Batten Light ,WT198C LED80S/840 PSU L1500,Philips,Fixtures,1500mm,57,8000,4000/6500,75000,220-240,No,No
LED Batten Light ,Adv WP 16W 4000K IP65 ND,Honeywell,Rectangle line,600 mm,16,2560,4000,50000,100-240,No,No
LED Batten Light ,Adv WP 16W 6500K IP65 ND,Honeywell,Rectangle line,600 mm,16,2560,6500,50000,100-240,No,No
LED Batten Light ,Adv WP 30W 4000K IP65 ND,Honeywell,Rectangle line,1200 mm,30,4800,4000,50000,100-240,No,No
LED Batten Light ,Adv WP 30W 6500K IP65 ND,Honeywell,Rectangle line,1200 mm,30,4800,6500,50000,100-240,No,No
LED Batten Light ,Adv WP 45W 4000K IP65 ND,Honeywell,Rectangle line,1500 mm,45,7200,4000,50000,100-240,No,No
LED Batten Light ,Adv WP 45W 6500K IP65 ND,Honeywell,Rectangle line,1500 mm,45,7200,6500,50000,100-240,No,No
LED Batten Light ,LDPFM DP 600 8W 840 WV G4 (P-DP06-8W-WV-G4-840),LEDVANCE,Rectangle line,599X77X68mm,8,1200,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 600 8W 865 WV G4 (P-DP06-8W -WV-G4-865),LEDVANCE,Rectangle line,599X77X68mm,8,1200,6500,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 600 16W 840 WV G4 (P-DP06-16W-WV-G4-840),LEDVANCE,Rectangle line,599X77X68mm,16,2400,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 600 16W 865 WV G4 (P-DP06-16W-WV-G4-865),LEDVANCE,Rectangle line,599X77X68mm,16,2400,6500,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1200 14W 840 WV G4 (P-DP12-14W-WV-G4-840),LEDVANCE,Rectangle line,1199X77X68mm,14,2100,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1200 14W 865 WV G4 (P-DP12-14W-WV-G4-865),LEDVANCE,Rectangle line,1199X77X68mm,14,2100,6500,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1200 30W 840 WV G4 (P-DP12-30W-WV-G4-840),LEDVANCE,Rectangle line,1199X77X68mm,30,4500,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1200 30W 865 WV G4 (P-DP12-30W-WV-G4-865),LEDVANCE,Rectangle line,1199X77X68mm,30,4500,6500,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1500 21W 840 WV G4 (P-DP15-21W-WV-G4-840),LEDVANCE,Rectangle line,1499X77X68mm,21,3150,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1500 21W 865 WV G4 (P-DP15-21W-WV-G4-865),LEDVANCE,Rectangle line,1499X77X68mm,21,3150,6500,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1500 43W 840 WV G4 (P-DP15-43W-WV-G4-840),LEDVANCE,Rectangle line,1499X77X68mm,43,6450,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1500 43W 865 WV G4 (P-DP15-43W-WV-G4-865),LEDVANCE,Rectangle line,1499X77X68mm,43,6450,6500,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1500 57W 840 WV G4 (P-DP15-57W-WV-G4-840),LEDVANCE,Rectangle line,1499X77X68mm,57,8550,4000,50000,100-277V,No,No
LED Batten Light ,LDPFM DP 1500 57W 865 WV G4 (P-DP15-57W-WV-G4-865),LEDVANCE,Rectangle line,1499X77X68mm,57,8550,6500,50000,100-277V,No,No
LED Tube,MAS LEDtube 1200mm HO 13.5W840 T8,Philips,T8,1200mm,13.5,2100,4000,50000,220-240,No,No
LED Tube,MAS LEDtube 1200mm HO 13.5W865 T8,Philips,T8,1200mm,13.5,2100,6500,50000,220-240,No,No
LED Tube,MAS LEDtube VLE 600mm HO 5.3W 840 T8,Philips,T8,600mm,5.3,1000,4000,50000,100-240,No,No
LED Tube,MAS LEDtube VLE 600mm HO 5.3W 865 T8,Philips,T8,600mm,5.3,1000,6500,50000,100-240,No,No
LED Tube,MAS LEDtube VLE 1200mm HO 8.7W 840 T8,Philips,T8,1200mm,8.7,1800,4000,50000,100-240,No,No
LED Tube,MAS LEDtube VLE 1200mm HO 8.7W 865 T8,Philips,T8,1200mm,8.7,1800,6500,50000,100-240,No,No
LED Tube,MAS LEDtube VLE 1500mm HO 18.2W 840 T8,Philips,T8,1500mm,18.2,3100,4000,50000,220-240,No,No
LED Tube,MAS LEDtube VLE 1500mm HO 18.2W 865 T8,Philips,T8,1500mm,18.2,3100,6500,50000,220-240,No,No
LED Tube,CorePro LEDtube 1200mm 16W840 G5 I APR,Philips,T5,1200mm,16,21,4000,50000,220-240,No,No
LED Tube,CorePro LEDtube 1200mm 16W865 G5 I APR,Philips,T5,1200mm,16,21,6500,50000,220-240,No,No
LED Tube,CorePro LEDtube 600mm 8W840 G5 I APR,Philips,T5,600mm,8,1050,4000,50000,220-240,No,No
LED Tube,CorePro LEDtube 600mm 8W865 G5 I APR,Philips,T5,600mm,8,1050,6500,50000,220-240,No,No
LED Tube,MAS LEDtube 1500mm HE 20W 865 T5 KSA,Philips,T5,1500mm,20,3000,4000,50000,220-240,No,No
LED Tube,MAS LEDtube 1500mm HE 20W 865 T5 KSA,Philips,T5,1500mm,20,3000,6500,50000,220-240,No,No
LED Tube,MAS LEDtube 1500mm HO 26W 840 T5,Philips,T5,1500mm,26,3900,4000,50000,220-240,No,No
LED Tube,MAS LEDtube 1500mm HO 26W 840 T5,Philips,T5,1500mm,26,3900,6500,50000,220-240,No,No
LED Tube,Ult TLED T5 7W 4000K 600mm IP20 ND,Honeywell,T5,600 mm,7,1155,4000,50000,100-240,No,No
LED Tube,Ult TLED T5 7W 6500K 600mmIP20 ND,Honeywell,T5,600 mm,7,1155,6500,50000,100-240,No,No
LED Tube,Ult TLED T5 10.5W 4000K 900mm IP20 ND,Honeywell,T5,900 mm,10.5,1735,4000,50000,100-240,No,No
LED Tube,Ult TLED T5 10.5W 6500K 900mm IP20 ND,Honeywell,T5,900 mm,10.5,1735,6500,50000,100-240,No,No
LED Tube,Ult TLED T5 14.5W 4000K 1200mmIP20 ND,Honeywell,T5,1200 mm,14.5,2395,4000,50000,100-240,No,No
LED Tube,Ult TLED T5 14.5W 6500K 1200mmIP20 ND,Honeywell,T5,1200 mm,14.5,2395,6500,50000,100-240,No,No
LED Tube,Ult TLED T5 17W 4000K 1500mmIP20 ND,Honeywell,T5,1500 mm,17,2805,4000,50000,100-240,No,No
LED Tube,Ult TLED T5 17W 6500K 1500mm IP20 ND,Honeywell,T5,1500 mm,17,2805,6500,50000,100-240,No,No
LED Tube,Ult TLED T5 24W 4000K 1500mm IP20 ND,Honeywell,T5,1500 mm,24,3960,4000,50000,100-240,No,No
LED Tube,Ult TLED T5 24W 6500K 1500mm IP20 ND,Honeywell,T5,1500 mm,24,3960,6500,50000,100-240,No,No
LED Tube,Ult TLED T8 5.5W 3000K 60cm G13 IP20 ND,Honeywell,T8,600 mm,5.5,900,3000,50000,100-240,No,No
LED Tube,Ult TLED T8 5.5W 4000K 60cm G13 IP20 ND,Honeywell,T8,600 mm,5.5,1000,4000,50000,100-240,No,No
LED Tube,Ult TLED T8 5.5W 6500K 60cm G13 IP20 ND,Honeywell,T8,600 mm,5.5,1000,6500,50000,100-240,No,No
LED Tube,Ult TLED T8 9.7W 3000K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,9.7,1620,3000,50000,100-240,No,No
LED Tube,Ult TLED T8 9.7W 4000K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,9.7,1800,4000,50000,100-240,No,No
LED Tube,Ult TLED T8 9.7W 6500K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,9.7,1800,6500,50000,100-240,No,No
LED Tube,Ult TLED T8 5.2W 4000K 60cm G13 IP20 ND,Honeywell,T8,600 mm,5.2,1000,4000,50000,100-240,No,No
LED Tube,Ult TLED T8 5.2W 6500K 60cm G13 IP20 ND,Honeywell,T8,600 mm,5.2,1000,6500,75000,100-240,No,No
LED Tube,Ult TLED T8 8.7W 4000K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,8.7,1800,4000,50000,100-240,No,No
LED Tube,Ult TLED T8 8.7W 6500K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,8.7,1800,6500,50000,100-240,No,No
LED Tube,Adv TLED T8 13W 3000K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,13,2080,3000,50000,100-240,No,No
LED Tube,Adv TLED T8 13W 4000K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,13,2080,4000,50000,100-240,No,No
LED Tube,Adv TLED T8 13W 6500K 120cm G13 IP20 ND,Honeywell,T8,1200 mm,13,2080,6500,50000,100-240,No,No
LED Tube,Adv TLED T8 20W 3000K 150cm G13 IP20 ND,Honeywell,T8,1500 mm,20,3200,3000,50000,100-240,No,No
LED Tube,Adv TLED T8 20W 4000K 150cm G13 IP20 ND,Honeywell,T8,1500 mm,20,3200,4000,50000,100-240,No,No
LED Tube,Adv TLED T8 20W 6500K 150cm G13 IP20 ND,Honeywell,T8,1500 mm,20,3200,6500,50000,100-240,No,No
LED Tube,"ST8A-0.6M 5,3W/830100-240VEM25X1KSAOSRAM",Osram,T8,600 mm,5.3,900,3000,50000,100-240,No,No
LED Tube,"ST8A-0.6M 5,3W/840100-240VEM25X1KSAOSRAM",Osram,T8,600 mm,5.3,1000,4000,50000,100-240,No,No
LED Tube,"ST8A-0.6M 5,3W/865100-240VEM25X1KSAOSRAM",Osram,T8,600 mm,5.3,1000,6500,50000,100-240,No,No
