item,unit,default_qty_rule
Cable (3x1.5mm²) with flexible conduit,meters,1226
Light Switch 10 A,Pcs,154
A/C Connecting Switch 45 A,Pcs,131
Lamp holders G-13 (T8),Pcs,12253
Refrigerant Mueller Copper pipe 1/2'' with insulation,meters,2764
Diffusers 60*120 cm,Pcs,1362
Timer,Pcs,137
Window unit frame,Pcs,1015
LED Emergency Battery Kit,Pcs,123
"General Duty Safety Disconnect Switch Outdoor, Non-Fusible, 2P 30A 240V ",Pcs,56
Steel base/Wall brackets for outdoor split units with 4 Rubber pads, PCs,139
Concrete solid block for outdoor split units (15*30*50),Pcs,277
"1-Inch Rigid PVC AC Drain Line Pipe, Anti-UV",meters,262
Trunking PVC Decorative Refrigerant Pipe Line Cover,meters,553
Fire rated expanding polyurethane foam filler,Pcs,131
Permanent asset tag for A/C indoor and outdoor units,Pcs,6543
